"","cell","Lat","Lng","CountID","SurveyID","ObsYear","ObsMonth","doy","group","abund.bph","log.abund","SR"
"1",507,47.5667,-92.5333,497,6374,2006,7,182,"RE",22,3.09104245335832,1
"2",507,47.5667,-92.5333,497,6374,2006,7,182,"RL",12,2.484906649788,9
"3",507,47.5667,-92.5333,497,6374,2006,7,182,"RP",0.8,-0.22314355131421,2
"4",507,47.5667,-92.5333,497,7154,2007,7,185,"RE",25.2727272727273,3.22972584089227,2
"5",507,47.5667,-92.5333,497,7154,2007,7,185,"RL",21.4545454545455,3.06593653222724,14
"6",507,47.5667,-92.5333,497,7154,2007,7,185,"RP",2,0.693147180559945,3
"7",507,47.5667,-92.5333,497,8061,2008,7,186,"RE",0.666666666666667,-0.405465108108164,1
"8",507,47.5667,-92.5333,497,8061,2008,7,186,"RL",20,2.99573227355399,15
"9",507,47.5667,-92.5333,497,8061,2008,7,186,"RP",3,1.09861228866811,4
"10",507,47.5667,-92.5333,497,8561,2009,7,185,"RE",1.16666666666667,0.154150679827258,1
"11",507,47.5667,-92.5333,497,8561,2009,7,185,"RL",12,2.484906649788,12
"12",507,47.5667,-92.5333,497,8561,2009,7,185,"RP",2.83333333333333,1.04145387482816,3
"13",507,47.5667,-92.5333,497,9057,2010,7,186,"RE",18.3076923076923,2.90732131620994,2
"14",507,47.5667,-92.5333,497,9057,2010,7,186,"RL",10.3076923076923,2.33289044248937,12
"15",507,47.5667,-92.5333,497,9057,2010,7,186,"RP",1.53846153846154,0.430782916092454,1
"16",507,47.5667,-92.5333,497,9559,2011,7,184,"RE",9.16666666666667,2.21557371600442,1
"17",507,47.5667,-92.5333,497,9559,2011,7,184,"RL",18.5,2.91777073208428,13
"18",507,47.5667,-92.5333,497,9559,2011,7,184,"RP",4.16666666666667,1.42711635564015,2
"19",507,47.5667,-92.5333,497,10028,2012,7,186,"RE",57.4285714285714,4.05054193956371,2
"20",507,47.5667,-92.5333,497,10028,2012,7,186,"RL",27.1428571428571,3.30111392310517,12
"21",507,47.5667,-92.5333,497,10028,2012,7,186,"RP",3.42857142857143,1.23214368129263,2
"22",507,47.5667,-92.5333,497,10562,2013,7,185,"RE",1.69230769230769,0.526093095896779,1
"23",507,47.5667,-92.5333,497,10562,2013,7,185,"RL",17.8461538461538,2.88178801420477,19
"24",507,47.5667,-92.5333,497,10562,2013,7,185,"RP",3.53846153846154,1.26369203902756,2
"25",507,47.5667,-92.5333,497,10975,2014,7,185,"RE",4,1.38629436111989,2
"26",507,47.5667,-92.5333,497,10975,2014,7,185,"RL",14.1666666666667,2.65089178726226,12
"27",507,47.5667,-92.5333,497,10975,2014,7,185,"RP",1.16666666666667,0.154150679827258,2
"28",507,47.5667,-92.5333,497,11477,2015,7,185,"RE",5.16666666666667,1.64222773525709,2
"29",507,47.5667,-92.5333,497,11477,2015,7,185,"RL",8.66666666666667,2.15948424935337,12
"30",507,47.5667,-92.5333,497,11477,2015,7,185,"RP",0.833333333333333,-0.182321556793955,2
"31",507,47.5667,-92.5333,497,12345,2016,7,185,"RE",4.8,1.56861591791385,2
"32",507,47.5667,-92.5333,497,12345,2016,7,185,"RL",4.6,1.52605630349505,8
"33",507,47.5667,-92.5333,497,12345,2016,7,185,"RP",1.8,0.587786664902119,3
"34",507,47.5667,-92.5333,497,12880,2017,7,185,"RE",4.66666666666667,1.54044504094715,1
"35",507,47.5667,-92.5333,497,12880,2017,7,185,"RL",4.16666666666667,1.42711635564015,8
